Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 124.0.0.0,,,16-05-2024 10:40:32,16-05-2024 10:41:59,1m - 26.914s,PASSED
,,,,,,,
Test Cases/Test Case 1 (Normal Login),Chrome 124.0.0.0,,,16-05-2024 10:40:32,16-05-2024 10:41:59,1m - 26.657s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,16-05-2024 10:40:33,16-05-2024 10:40:35,2.327s,PASSED
maximizeWindow(),Chrome 124.0.0.0,,,16-05-2024 10:40:35,16-05-2024 10:40:35,0.170s,PASSED
"navigateToUrl(""https://metrodataacademy.id/"")",Chrome 124.0.0.0,,,16-05-2024 10:40:35,16-05-2024 10:40:39,3.322s,PASSED
takeScreenshot(),Chrome 124.0.0.0,Berhasil Membuka Website Metrodata Academy,,16-05-2024 10:40:39,16-05-2024 10:40:45,6.438s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/a_Masuk""))",Chrome 124.0.0.0,,,16-05-2024 10:40:45,16-05-2024 10:41:17,32.298s,PASSED
"setText(findTestObject(""Object Repository/Page_Metrodata Academy/input__email""), ""papahgilak@gmail.com"")",Chrome 124.0.0.0,,,16-05-2024 10:41:17,16-05-2024 10:41:18,0.732s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Metrodata Academy/input__password""), ""ANgLrNN9LeX238E+iUxpGw=="")",Chrome 124.0.0.0,,,16-05-2024 10:41:18,16-05-2024 10:41:19,0.517s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_Masuk""))",Chrome 124.0.0.0,,,16-05-2024 10:41:19,16-05-2024 10:41:19,0.352s,PASSED
delay(4),Chrome 124.0.0.0,,,16-05-2024 10:41:19,16-05-2024 10:41:23,4.056s,PASSED
"if (verifyTextPresent(""Lihat Program"", false))",Chrome 124.0.0.0,,,16-05-2024 10:41:23,16-05-2024 10:41:27,3.876s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_M Gilang Rizky Ramadhan""))",Chrome 124.0.0.0,,,16-05-2024 10:41:27,16-05-2024 10:41:27,0.340s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_Keluar""))",Chrome 124.0.0.0,,,16-05-2024 10:41:27,16-05-2024 10:41:59,31.566s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,16-05-2024 10:41:59,16-05-2024 10:41:59,0.235s,PASSED
