Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 124.0.0.0,,,16-05-2024 18:30:14,16-05-2024 18:42:37,12m - 22.857s,FAILED
,,,,,,,
Test Cases/Test Case 1 (Normal Login),Chrome 124.0.0.0,,,16-05-2024 18:30:14,16-05-2024 18:32:01,1m - 46.656s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,16-05-2024 18:30:15,16-05-2024 18:30:18,3.324s,PASSED
maximizeWindow(),Chrome 124.0.0.0,,,16-05-2024 18:30:18,16-05-2024 18:30:18,0.174s,PASSED
"navigateToUrl(""https://metrodataacademy.id/"")",Chrome 124.0.0.0,,,16-05-2024 18:30:18,16-05-2024 18:30:33,14.397s,PASSED
takeScreenshot(),Chrome 124.0.0.0,Berhasil Membuka Website Metrodata Academy,,16-05-2024 18:30:33,16-05-2024 18:30:34,0.908s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/a_Masuk""))",Chrome 124.0.0.0,,,16-05-2024 18:30:34,16-05-2024 18:31:09,35.611s,PASSED
takeScreenshot(),Chrome 124.0.0.0,Halaman Login Page,,16-05-2024 18:31:09,16-05-2024 18:31:12,2.446s,PASSED
"setText(findTestObject(""Object Repository/Page_Metrodata Academy/input__email""), ""papahgilak@gmail.com"")",Chrome 124.0.0.0,,,16-05-2024 18:31:12,16-05-2024 18:31:12,0.806s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Metrodata Academy/input__password""), ""ANgLrNN9LeX238E+iUxpGw=="")",Chrome 124.0.0.0,,,16-05-2024 18:31:12,16-05-2024 18:31:13,0.490s,PASSED
takeScreenshot(),Chrome 124.0.0.0,Melakukan Input Data Login,,16-05-2024 18:31:13,16-05-2024 18:31:14,0.686s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_Masuk""))",Chrome 124.0.0.0,,,16-05-2024 18:31:14,16-05-2024 18:31:14,0.552s,PASSED
delay(4),Chrome 124.0.0.0,,,16-05-2024 18:31:14,16-05-2024 18:31:18,4.074s,PASSED
"if (verifyTextPresent(""Lihat Program"", false))",Chrome 124.0.0.0,,,16-05-2024 18:31:18,16-05-2024 18:31:23,4.867s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_M Gilang Rizky Ramadhan""))",Chrome 124.0.0.0,,,16-05-2024 18:31:23,16-05-2024 18:31:24,0.541s,PASSED
delay(4),Chrome 124.0.0.0,,,16-05-2024 18:31:24,16-05-2024 18:31:28,4.013s,PASSED
takeScreenshot(),Chrome 124.0.0.0,Logout,,16-05-2024 18:31:28,16-05-2024 18:31:28,0.760s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_Keluar""))",Chrome 124.0.0.0,,,16-05-2024 18:31:28,16-05-2024 18:32:00,31.616s,PASSED
