Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 124.0.0.0,,,16-05-2024 11:17:31,16-05-2024 11:18:56,1m - 25.100s,PASSED
,,,,,,,
Test Cases/Test Case 1 (Normal Login),Chrome 124.0.0.0,,,16-05-2024 11:17:31,16-05-2024 11:18:56,1m - 24.818s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,16-05-2024 11:17:32,16-05-2024 11:17:34,2.357s,PASSED
maximizeWindow(),Chrome 124.0.0.0,,,16-05-2024 11:17:34,16-05-2024 11:17:34,0.169s,PASSED
"navigateToUrl(""https://metrodataacademy.id/"")",Chrome 124.0.0.0,,,16-05-2024 11:17:34,16-05-2024 11:17:37,2.432s,PASSED
takeScreenshot(),Chrome 124.0.0.0,Berhasil Membuka Website Metrodata Academy,,16-05-2024 11:17:37,16-05-2024 11:17:41,4.796s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/a_Masuk""))",Chrome 124.0.0.0,,,16-05-2024 11:17:41,16-05-2024 11:18:14,32.061s,PASSED
"setText(findTestObject(""Object Repository/Page_Metrodata Academy/input__email""), ""papahgilak@gmail.com"")",Chrome 124.0.0.0,,,16-05-2024 11:18:14,16-05-2024 11:18:14,0.757s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Metrodata Academy/input__password""), ""ANgLrNN9LeX238E+iUxpGw=="")",Chrome 124.0.0.0,,,16-05-2024 11:18:14,16-05-2024 11:18:15,0.513s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_Masuk""))",Chrome 124.0.0.0,,,16-05-2024 11:18:15,16-05-2024 11:18:15,0.331s,PASSED
delay(4),Chrome 124.0.0.0,,,16-05-2024 11:18:15,16-05-2024 11:18:19,4.047s,PASSED
"if (verifyTextPresent(""Lihat Program"", false))",Chrome 124.0.0.0,,,16-05-2024 11:18:19,16-05-2024 11:18:24,4.896s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_M Gilang Rizky Ramadhan""))",Chrome 124.0.0.0,,,16-05-2024 11:18:24,16-05-2024 11:18:24,0.341s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_Keluar""))",Chrome 124.0.0.0,,,16-05-2024 11:18:24,16-05-2024 11:18:56,31.407s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,16-05-2024 11:18:56,16-05-2024 11:18:56,0.263s,PASSED
