Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 124.0.0.0,,,17-05-2024 09:20:39,17-05-2024 09:25:29,4m - 49.410s,PASSED
,,,,,,,
Test Cases/Test Case 1 (Normal Login),Chrome 124.0.0.0,,,17-05-2024 09:20:40,17-05-2024 09:22:16,1m - 36.109s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,17-05-2024 09:20:41,17-05-2024 09:20:45,4.061s,PASSED
maximizeWindow(),Chrome 124.0.0.0,,,17-05-2024 09:20:45,17-05-2024 09:20:45,0.187s,PASSED
"navigateToUrl(""https://metrodataacademy.id/"")",Chrome 124.0.0.0,,,17-05-2024 09:20:45,17-05-2024 09:20:47,1.392s,PASSED
takeScreenshot(),Chrome 124.0.0.0,Berhasil Membuka Website Metrodata Academy,,17-05-2024 09:20:47,17-05-2024 09:20:54,7.583s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/a_Masuk""))",Chrome 124.0.0.0,,,17-05-2024 09:20:54,17-05-2024 09:21:27,32.410s,PASSED
takeScreenshot(),Chrome 124.0.0.0,Halaman Login Page,,17-05-2024 09:21:27,17-05-2024 09:21:28,1.016s,PASSED
"setText(findTestObject(""Object Repository/Page_Metrodata Academy/input__email""), ""papahgilak@gmail.com"")",Chrome 124.0.0.0,,,17-05-2024 09:21:28,17-05-2024 09:21:28,0.769s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Metrodata Academy/input__password""), ""ANgLrNN9LeX238E+iUxpGw=="")",Chrome 124.0.0.0,,,17-05-2024 09:21:28,17-05-2024 09:21:29,0.450s,PASSED
takeScreenshot(),Chrome 124.0.0.0,Melakukan Input Data Login,,17-05-2024 09:21:29,17-05-2024 09:21:30,0.847s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_Masuk""))",Chrome 124.0.0.0,,,17-05-2024 09:21:30,17-05-2024 09:21:30,0.427s,PASSED
delay(4),Chrome 124.0.0.0,,,17-05-2024 09:21:30,17-05-2024 09:21:34,4.070s,PASSED
"if (verifyTextPresent(""Lihat Program"", false))",Chrome 124.0.0.0,,,17-05-2024 09:21:34,17-05-2024 09:21:39,4.639s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_M Gilang Rizky Ramadhan""))",Chrome 124.0.0.0,,,17-05-2024 09:21:39,17-05-2024 09:21:39,0.328s,PASSED
delay(4),Chrome 124.0.0.0,,,17-05-2024 09:21:39,17-05-2024 09:21:43,4.010s,PASSED
takeScreenshot(),Chrome 124.0.0.0,Logout,,17-05-2024 09:21:43,17-05-2024 09:21:44,0.958s,PASSED
"click(findTestObject(""Object Repository/Page_Metrodata Academy/button_Keluar""))",Chrome 124.0.0.0,,,17-05-2024 09:21:44,17-05-2024 09:22:16,31.510s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,17-05-2024 09:22:16,17-05-2024 09:22:16,0.368s,PASSED
,,,,,,,
Test Cases/Test Case 10 (Abnormal Login Lupa Password),Chrome 124.0.0.0,,,17-05-2024 09:22:16,17-05-2024 09:23:03,47.270s,PASSED
